,Country Name,total_cases,total_deaths,continent,population,Year,Births attended by skilled health staff (% of total) [SH.STA.BRTC.ZS],Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD],"Current health expenditure per capita, PPP (current international $) [SH.XPD.CHEX.PP.CD]",Diabetes prevalence (% of population ages 20 to 79) [SH.STA.DIAB.ZS],"Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Labor force, total [SL.TLF.TOTL.IN]","Literacy rate, adult total (% of people ages 15 and above) [SE.ADT.LITR.ZS]","Literacy rate, youth total (% of people ages 15-24) [SE.ADT.1524.LT.ZS]",Net migration [SM.POP.NETM],People using at least basic drinking water services (% of population) [SH.H2O.BASW.ZS],People using at least basic sanitation services (% of population) [SH.STA.BASS.ZS],Rural population (% of total population) [SP.RUR.TOTL.ZS],"School enrollment, primary (% gross) [SE.PRM.ENRR]","School enrollment, secondary (% gross) [SE.SEC.ENRR]","School enrollment, tertiary (% gross) [SE.TER.ENRR]","Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age) [SH.ALC.PCAP.LI]",Urban population (% of total population) [SP.URB.TOTL.IN.ZS],Time Code,"Age dependency ratio, young (% of working-age population) [SP.POP.DPND.YG]",Current health expenditure (% of GDP) [SH.XPD.CHEX.GD.ZS],Domestic general government health expenditure (% of GDP) [SH.XPD.GHED.GD.ZS],Domestic general government health expenditure (% of general government expenditure) [SH.XPD.GHED.GE.ZS],Domestic general government health expenditure (% of current health expenditure) [SH.XPD.GHED.CH.ZS],Domestic general government health expenditure per capita (current US$) [SH.XPD.GHED.PC.CD],"Domestic general government health expenditure per capita, PPP (current international $) [SH.XPD.GHED.PP.CD]",Domestic private health expenditure (% of current health expenditure) [SH.XPD.PVTD.CH.ZS],Domestic private health expenditure per capita (current US$) [SH.XPD.PVTD.PC.CD],"Domestic private health expenditure per capita, PPP (current international $) [SH.XPD.PVTD.PP.CD]",Population density (people per sq. km of land area) [EN.POP.DNST],Land area (sq. km) [AG.LND.TOTL.K2],Urban land area (sq. km) [AG.LND.TOTL.UR.K2],Population in largest city [EN.URB.LCTY],"Age dependency ratio, old (% of working-age population) [SP.POP.DPND.OL]",Age dependency ratio (% of working-age population) [SP.POP.DPND],Adjusted net national income per capita (current US$) [NY.ADJ.NNTY.PC.CD],Food imports (% of merchandise imports) [TM.VAL.FOOD.ZS.UN],Food production index (2004-2006 = 100) [AG.PRD.FOOD.XD],2week,3week,4week,5week,6week
87,Australia,80,3,Oceania,25499881,2020,99.7,5002.35827732,4529.88708182,5.7,82.4975609756098,13133575,95.06944,98.75365,791229,99.9699355966804,99.9911523822512,13.988,100.339,150.3115,113.1422,10.6,86.012,YR2018,29.4547356175126,9.20594781637192,6.34408071637154,17.797327041626,68.9128518104553,3674.3076171875,3318.94897460938,31.0871511697769,1657.51025390625,1497.205078125,3.24912948744283,7692020,36745.70313,4792281,24.0303526189308,53.4850882364433,41489.4767632325,6.64953765441637,105.58,True,True,True,False,False
88,Australia,100,3,Oceania,25499881,2020,99.7,5002.35827732,4529.88708182,5.7,82.4975609756098,13133575,95.06944,98.75365,791229,99.9699355966804,99.9911523822512,13.988,100.339,150.3115,113.1422,10.6,86.012,YR2018,29.4547356175126,9.20594781637192,6.34408071637154,17.797327041626,68.9128518104553,3674.3076171875,3318.94897460938,31.0871511697769,1657.51025390625,1497.205078125,3.24912948744283,7692020,36745.70313,4792281,24.0303526189308,53.4850882364433,41489.4767632325,6.64953765441637,105.58,True,True,True,False,False
89,Australia,112,3,Oceania,25499881,2020,99.7,5002.35827732,4529.88708182,5.7,82.4975609756098,13133575,95.06944,98.75365,791229,99.9699355966804,99.9911523822512,13.988,100.339,150.3115,113.1422,10.6,86.012,YR2018,29.4547356175126,9.20594781637192,6.34408071637154,17.797327041626,68.9128518104553,3674.3076171875,3318.94897460938,31.0871511697769,1657.51025390625,1497.205078125,3.24912948744283,7692020,36745.70313,4792281,24.0303526189308,53.4850882364433,41489.4767632325,6.64953765441637,105.58,True,True,True,False,False
90,Australia,126,3,Oceania,25499881,2020,99.7,5002.35827732,4529.88708182,5.7,82.4975609756098,13133575,95.06944,98.75365,791229,99.9699355966804,99.9911523822512,13.988,100.339,150.3115,113.1422,10.6,86.012,YR2018,29.4547356175126,9.20594781637192,6.34408071637154,17.797327041626,68.9128518104553,3674.3076171875,3318.94897460938,31.0871511697769,1657.51025390625,1497.205078125,3.24912948744283,7692020,36745.70313,4792281,24.0303526189308,53.4850882364433,41489.4767632325,6.64953765441637,105.58,True,True,True,False,False
91,Australia,156,3,Oceania,25499881,2020,99.7,5002.35827732,4529.88708182,5.7,82.4975609756098,13133575,95.06944,98.75365,791229,99.9699355966804,99.9911523822512,13.988,100.339,150.3115,113.1422,10.6,86.012,YR2018,29.4547356175126,9.20594781637192,6.34408071637154,17.797327041626,68.9128518104553,3674.3076171875,3318.94897460938,31.0871511697769,1657.51025390625,1497.205078125,3.24912948744283,7692020,36745.70313,4792281,24.0303526189308,53.4850882364433,41489.4767632325,6.64953765441637,105.58,True,True,True,False,False
92,Australia,197,3,Oceania,25499881,2020,99.7,5002.35827732,4529.88708182,5.7,82.4975609756098,13133575,95.06944,98.75365,791229,99.9699355966804,99.9911523822512,13.988,100.339,150.3115,113.1422,10.6,86.012,YR2018,29.4547356175126,9.20594781637192,6.34408071637154,17.797327041626,68.9128518104553,3674.3076171875,3318.94897460938,31.0871511697769,1657.51025390625,1497.205078125,3.24912948744283,7692020,36745.70313,4792281,24.0303526189308,53.4850882364433,41489.4767632325,6.64953765441637,105.58,True,True,True,False,False
93,Australia,249,3,Oceania,25499881,2020,99.7,5002.35827732,4529.88708182,5.7,82.4975609756098,13133575,95.06944,98.75365,791229,99.9699355966804,99.9911523822512,13.988,100.339,150.3115,113.1422,10.6,86.012,YR2018,29.4547356175126,9.20594781637192,6.34408071637154,17.797327041626,68.9128518104553,3674.3076171875,3318.94897460938,31.0871511697769,1657.51025390625,1497.205078125,3.24912948744283,7692020,36745.70313,4792281,24.0303526189308,53.4850882364433,41489.4767632325,6.64953765441637,105.58,True,True,True,False,False
94,Australia,298,5,Oceania,25499881,2020,99.7,5002.35827732,4529.88708182,5.7,82.4975609756098,13133575,95.06944,98.75365,791229,99.9699355966804,99.9911523822512,13.988,100.339,150.3115,113.1422,10.6,86.012,YR2018,29.4547356175126,9.20594781637192,6.34408071637154,17.797327041626,68.9128518104553,3674.3076171875,3318.94897460938,31.0871511697769,1657.51025390625,1497.205078125,3.24912948744283,7692020,36745.70313,4792281,24.0303526189308,53.4850882364433,41489.4767632325,6.64953765441637,105.58,True,True,True,False,False
95,Australia,375,5,Oceania,25499881,2020,99.7,5002.35827732,4529.88708182,5.7,82.4975609756098,13133575,95.06944,98.75365,791229,99.9699355966804,99.9911523822512,13.988,100.339,150.3115,113.1422,10.6,86.012,YR2018,29.4547356175126,9.20594781637192,6.34408071637154,17.797327041626,68.9128518104553,3674.3076171875,3318.94897460938,31.0871511697769,1657.51025390625,1497.205078125,3.24912948744283,7692020,36745.70313,4792281,24.0303526189308,53.4850882364433,41489.4767632325,6.64953765441637,105.58,True,True,True,False,False
96,Australia,454,5,Oceania,25499881,2020,99.7,5002.35827732,4529.88708182,5.7,82.4975609756098,13133575,95.06944,98.75365,791229,99.9699355966804,99.9911523822512,13.988,100.339,150.3115,113.1422,10.6,86.012,YR2018,29.4547356175126,9.20594781637192,6.34408071637154,17.797327041626,68.9128518104553,3674.3076171875,3318.94897460938,31.0871511697769,1657.51025390625,1497.205078125,3.24912948744283,7692020,36745.70313,4792281,24.0303526189308,53.4850882364433,41489.4767632325,6.64953765441637,105.58,True,True,True,False,False
